Math	Physics	Chemistry	English	Computer	Total	Average
84	87	93	40	43	347	69.40
99	43	79	49	59	329	65.80
61	90	76	63	46	336	67.20
64	64	52	98	41	319	63.80
78	79	63	86	64	370	74.00
57	77	65	53	48	300	60.00
49	60	91	56	91	347	69.40
45	55	87	40	58	285	57.00
75	64	89	91	69	388	77.60
59	59	54	79	72	323	64.60
41	49	97	72	71	330	66.00
50	92	63	75	51	331	66.20
90	95	68	74	40	367	73.40
40	76	93	45	78	332	66.40
80	92	57	55	44	328	65.60
81	82	98	71	96	428	85.60
41	41	79	81	97	339	67.80
75	78	95	51	86	385	77.00
58	67	40	54	75	294	58.80
93	52	97	82	60	384	76.80
51	44	46	44	87	272	54.40
92	43	52	76	92	355	71.00
80	54	55	60	75	324	64.80
98	63	55	53	93	362	72.40
61	88	89	45	81	364	72.80
75	40	71	45	70	301	60.20
40	89	90	76	74	369	73.80
88	69	43	74	82	356	71.20
53	88	79	61	49	330	66.00
40	50	90	83	98	361	72.20
