Name           Total    Average    Grade
------------------------------------------
Student_01      347       69.4        C
Student_02      329       65.8        C
Student_03      336       67.2        C
Student_04      319       63.8        C
Student_05      370       74.0        B
Student_06      300       60.0        C
Student_07      347       69.4        C
Student_08      285       57.0        D
Student_09      388       77.6        B
Student_10      323       64.6        C
Student_11      330       66.0        C
Student_12      331       66.2        C
Student_13      367       73.4        B
Student_14      332       66.4        C
Student_15      328       65.6        C
Student_16      428       85.6        A
Student_17      339       67.8        C
Student_18      385       77.0        B
Student_19      294       58.8        D
Student_20      384       76.8        B
Student_21      272       54.4        D
Student_22      355       71.0        B
Student_23      324       64.8        C
Student_24      362       72.4        B
Student_25      364       72.8        B
Student_26      301       60.2        C
Student_27      369       73.8        B
Student_28      356       71.2        B
Student_29      330       66.0        C
Student_30      361       72.2        B
